Date,Pitcher,Pick,Actual_K,Actual_IP,Result
2026-06-15,Chase Burns,O 7.5,7,5.0,LOSS
2026-06-15,MacKenzie Gore,O 5.5,10,7.0,WIN
2026-06-15,Dustin May,O 4.5,9,9.0,WIN
2026-06-15,Ryan Gusto,U 3.5,1,3.1,WIN
2026-06-15,J.T. Ginn,U 4.5,3,6.0,WIN
2026-06-15,Zack Wheeler,O 6.5,9,6.0,WIN
2026-06-15,Shota Imanaga,U 6.5,3,5.2,WIN
2026-06-15,Ryne Nelson,U 4.5,5,7.0,LOSS
2026-06-15,Jared Jones,NL,4,4.0,NL
2026-06-15,Nick Martinez,O 3.5,6,5.1,WIN
2026-06-15,Eric Lauer,U 3.5,4,6.0,LOSS
2026-06-15,Andrew Alvarez,U 4.5,5,4.0,LOSS
2026-06-15,Mitch Spence,U 3.5,1,4.0,WIN
2026-06-15,Michael Lorenzen,U 4.5,5,5.0,LOSS
2026-06-15,Walbert Ureña,U 4.5,3,7.0,WIN
2026-06-15,Tobias Myers,U 2.5,1,1.1,WIN
2026-06-16,Framber Valdez,O 4.5,6,6.0,WIN
2026-06-16,Hunter Brown,O 6.5,7,5.2,WIN
2026-06-16,Michael King,O 4.5,5,4.1,WIN
2026-06-16,Andre Pallante,O 3.5,6,7.0,WIN
2026-06-16,Brandon Young,U 4.5,2,6.0,WIN
2026-06-16,Logan Gilbert,O 6.5,10,7.0,WIN
2026-06-16,Justin Wrobleski,U 4.5,5,6.0,LOSS
2026-06-16,Drew Rasmussen,O 5.5,7,7.0,WIN
2026-06-16,Kumar Rocker,U 4.5,4,3.1,WIN
2026-06-16,Zebby Matthews,O 4.5,4,7.0,LOSS
2026-06-16,Davis Martin,O 5.5,4,3.1,LOSS
2026-06-16,Gerrit Cole,U 5.5,6,6.0,LOSS
2026-06-16,Payton Tolle,O 4.5,6,5.0,WIN
2026-06-16,Michael Wacha,O 4.5,3,6.0,LOSS
2026-06-16,Foster Griffin,U 5.5,6,6.0,LOSS
2026-06-16,Reid Detmers,O 5.5,6,7.0,WIN
2026-06-16,Merrill Kelly,U 4.5,4,5.1,WIN
2026-06-16,Jesús Luzardo,O 6.5,9,7.0,WIN
2026-06-16,Tyler Phillips,U 3.5,4,4.0,LOSS
2026-06-16,Brady Singer,U 4.5,5,5.0,LOSS
2026-06-16,Kodai Senga,U 5.5,5,4.0,WIN
2026-06-16,Robert Gasser,U 4.5,5,5.2,LOSS
2026-06-16,Slade Cecconi,U 4.5,4,5.2,WIN
2026-06-16,Edward Cabrera,U 5.5,3,4.1,WIN
2026-06-16,Ryan Feltner,U 3.5,7,4.2,LOSS
2026-06-16,Jack Perkins,U 4.5,6,5.0,LOSS
2026-06-18,Tatsuya Imai,O 4.5,11,6.0,WIN
2026-06-18,Cam Schlittler,O 6.5,13,6.0,WIN
2026-06-18,Jacob Misiorowski,O 8.5,7,6.0,LOSS
2026-06-18,Jacob deGrom,O 6.5,9,6.0,WIN
2026-06-18,José Soriano,O 3.5,6,5.0,WIN
2026-06-18,Landen Roupp,O 5.5,7,6.0,WIN
2026-06-18,Roki Sasaki,U 5.5,6,5.2,LOSS
2026-06-18,Jeffrey Springs,O 4.5,4,3.2,LOSS
2026-06-18,Bryce Miller,O 4.5,7,5.0,WIN
2026-06-18,Tarik Skubal,O 6.5,8,5.2,WIN
2026-06-18,Trey Gibson,U 3.5,8,5.0,LOSS
2026-06-18,Ben Brown,U 4.5,4,6.0,WIN
2026-06-18,Kevin Gausman,O 5.5,3,2.0,LOSS
2026-06-18,Griffin Jax,U 4.5,5,5.0,LOSS
2026-06-18,Martín Pérez,O 3.5,5,6.0,WIN
2026-06-18,Kyle Freeland,U 4.5,8,7.1,LOSS
2026-06-18,Ranger Suarez,U 5.5,5,6.2,WIN
2026-06-18,Bubba Chandler,U 4.5,1,6.0,WIN
2026-06-18,Rhett Lowder,U 4.5,5,5.1,LOSS
2026-06-18,Connor Prielipp,O 3.5,4,6.0,WIN
2026-06-18,Michael Soroka,O 5.5,0,1.0,LOSS
2026-06-18,Michael McGreevy,O 3.5,5,5.0,WIN
2026-06-18,Seth Lugo,U 6.5,5,6.0,WIN
2026-06-18,Randy Vásquez,O 3.5,6,3.1,WIN
2026-06-26,Miles Mikolas,U 3.5,1,3.1,WIN
2026-06-26,Aaron Nola,O 4.5,5,5.0,WIN
2026-06-26,Matthew Liberatore,O 3.5,3,5.0,LOSS
2026-06-26,Mitch Bratt,O 3.5,3,3.0,LOSS
2026-06-26,Trey Gibson,U 4.5,5,4.0,LOSS
2026-06-26,José Soriano,O 6.5,4,3.0,LOSS
2026-06-26,Martín Pérez,U 4.5,4,4.0,WIN
2026-06-26,JP Sears,O 3.5,5,5.2,WIN
2026-06-26,Joe Ryan,O 5.5,9,6.0,WIN
2026-06-26,Shohei Ohtani,O 6.5,8,6.0,WIN
2026-06-26,Ryan Weathers,O 5.5,6,6.0,WIN
2026-06-26,Tarik Skubal,O 6.5,9,6.0,WIN
2026-06-26,Eury Pérez,O 4.5,1,4.2,LOSS
2026-06-26,Jacob deGrom,O 6.5,8,6.0,WIN
2026-06-26,Braxton Ashcraft,O 5.5,10,6.0,WIN
2026-06-26,Bryan Woo,O 5.5,4,4.0,LOSS
2026-06-26,Erick Fedde,O 3.5,2,4.0,LOSS
2026-06-26,Tanner Bibee,U 5.5,3,6.0,WIN
2026-06-26,Gage Jump,O 4.5,7,,WIN
2026-06-26,Tyler Mahle,O 4.5,4,5.2,LOSS
2026-06-26,Mike Burrows,O 3.5,3,6.0,LOSS
2026-06-26,Trey Yesavage,U 5.5,5,5.2,WIN
2026-06-26,Kyle Freeland,O 3.5,4,6.0,WIN
2026-06-26,Ranger Suarez,U 4.5,9,6.0,LOSS
2026-06-26,Rhett Lowder,O 3.5,5,,WIN
2026-06-26,Shane Drohan,U 4.5,5,4.1,LOSS
2026-06-26,Noah Cameron,O 4.5,5,5.0,WIN
2026-06-26,Nolan McLean,O 5.5,8,,WIN
2026-06-26,Javier Assad,U 3.5,5,,LOSS
2026-06-26,Sean Manaea,O 3.5,4,,WIN
